# accessed: February 2018
Species_ID	Species_name_compact	Publication_count
477974	Desulforudis audaxviator	7
460265	Methylobacterium nodulans	18
861557	Pyrenophora teres	74
13735	Pelodiscus sinensis	143
888746	Streptococcus peroris	7
888741	Kingella denitrificans	38
888743	Prevotella multiformis	3
888742	Neisseria bacilliformis	5
351348	Marinobacter aquaeolei	48
443143	Geobacter sp. M18	1
443144	Geobacter sp. M21	0
680646	Rothia mucilaginosa	75
4932	Saccharomyces cerevisiae	96928
340100	Bordetella petrii	34
214092	Yersinia pestis CO92	141
420336	Epulopiscium sp. NtB	0
759362	Ketogulonigenium vulgarum	0
428126	Clostridium spiroforme	60
428125	Clostridium leptum	170
226185	Enterococcus faecalis	9751
765123	Propionibacterium acnes HL037PA2	4710
5855	Plasmodium vivax	4715
5850	Plasmodium knowlesi	410
1005048	Collimonas fungivorans	16
760192	Haliscomenobacter hydrossis	23
63737	Nostoc punctiforme	532
43989	Cyanothece sp. ATCC51142	2
420247	Methanobrevibacter smithii	200
420245	Leishmania braziliensis	18380
868131	Methanobacterium sp. SWAN1	120
148305	Magnaporthe grisea	1192
313628	Lentisphaera araneosa	4
998088	Aeromonas veronii	9
349519	Leuconostoc citreum	152
485913	Ktedonobacter racemifer	8
485917	Pedobacter heparinus	34
485916	Desulfotomaculum acetoxidans	18
9258	Ornithorhynchus anatinus	362
485914	Halomicrobium mukohataei	5
1001585	Pseudomonas mendocina NK01	0
485918	Chitinophaga pinensis	17
981222	Chloracidobacterium thermophilum	23
93060	Prochlorococcus marinus MIT9215	1
391009	Thermosipho melanesiensis	4
391008	Stenotrophomonas maltophilia R5513	2227
762982	Paraprevotella xylaniphila	3
596330	Peptoniphilus lacrimalis	4
887929	Pseudoramibacter alactolyticus	32
378806	Stigmatella aurantiaca	42
633697	Eubacterium cellulosolvens	24
754027	Treponema phagedenis	198
339860	Methanosphaera stadtmanae	68
771870	Sordaria macrospora	120
661367	Legionella longbeachae	46
765910	Marichromatium purpuratum	9
10141	Cavia porcellus	138133
604354	Thermococcus sibiricus	12
643867	Marivirga tractuosa	7
190485	Xanthomonas campestris ATCC33913	3
190486	Xanthomonas axonopodis	125
452471	Amoebophilus asiaticus	13
1032480	Microlunatus phosphovorus	21
321327	Synechococcus sp. JA33Ab	0
70601	Pyrococcus horikoshii	385
714313	Lactobacillus sanfranciscensis	137
483215	Bacteroides finegoldii	10
7260	Drosophila willistoni	203
521096	Tsukamurella paurometabola	20
653045	Streptomyces violaceusniger	49
523846	Methanothermus fervidus	84
272621	Lactobacillus acidophilus NCFM	153
272620	Klebsiella pneumoniae	12105
272623	Lactococcus lactis lactis	5716
272624	Legionella pneumophila Philadelphia	6
272626	Listeria innocua	1164
871271	Zinderia insecticola	4
426368	Methanococcus maripaludis C7	1
312153	Polynucleobacter necessarius asymbioticus	9
561007	Mycobacterium abscessus	16
290399	Arthrobacter sp. FB24	7
290398	Chromohalobacter salexigens	49
243160	Burkholderia mallei	220
243161	Chlamydia muridarum	273
264198	Ralstonia eutropha JMP134	86
264199	Streptococcus thermophilus	689
243164	Dehalococcoides ethenogenes	75
132908	Pteropus vampyrus	50
395019	Burkholderia multivorans	252
84588	Synechococcus sp. WH8102	46
290397	Anaeromyxobacter dehalogenans	36
363253	Lawsonia intracellularis	245
479433	Catenulispora acidiphila	10
479432	Streptosporangium roseum	15
479431	Nakamurella multipartita	6
479437	Eggerthella lenta	72
479436	Veillonella parvula	307
479435	Kribbella flavida	10
479434	Sphaerobacter thermophilus	10
658655	Lachnospiraceae bacterium 1456FAA	387
568816	Acidaminococcus intestini	4
568817	Serratia symbiotica	43
298654	Frankia sp. EuI1c	4
213810	Ruminococcus champanellensis	5
658659	Erysipelotrichaceae bacterium 3153	0
298653	Frankia sp. EAN1pec	11
452652	Kitasatospora setae	17
591001	Acidaminococcus fermentans	74
502347	Escherichia albertii	55
7070	Tribolium castaneum	1343
339671	Actinobacillus succinogenes	107
871585	Acinetobacter calcoaceticus	496
718255	Roseburia intestinalis	39
435838	Staphylococcus caprae	96
435837	Staphylococcus hominis	93
29760	Vitis vinifera	6986
1000570	Streptococcus anginosus SK52	1
382638	Helicobacter acinonychis	31
192952	Methanosarcina mazei	274
797210	Halopiger xanaduensis	6
533247	Raphidiopsis brookii	6
533240	Cylindrospermopsis raciborskii	246
886882	Paenibacillus polymyxa SC2	6
1042876	Pseudomonas putida S16	21
342610	Pseudoalteromonas atlantica	30
316385	Escherichia coli K12 DH10B	5
590998	Cellulomonas fimi	214
748224	Faecalibacterium prausnitzii KLE1255	0
375451	Roseobacter denitrificans	59
889513	Corynebacterium pseudotuberculosis	321
511995	Azobacteroides pseudotrichonymphae	3
984892	Staphylococcus pseudintermedius	428
1069533	Streptococcus infantarius	53
762903	Pedobacter saltans	8
425265	Malassezia globosa	288
869209	Treponema succinifaciens	12
369723	Salinispora tropica	57
862515	Prevotella marshii	4
749414	Streptomyces bingchenggensis	20
756272	Planctomyces brasiliensis	8
667014	Thermodesulfatator indicus	8
667015	Bacteroides salanitronis	5
743525	Thermus scotoductus	50
762948	Rothia dentocariosa	125
696127	Midichloria mitochondrii	39
873517	Capnocytophaga ochracea F0287	193
430066	Brucella abortus	4826
715451	Alteromonas sp. SN2	5
192222	Campylobacter jejuni NCTC11168	73
180281	Cyanobium sp. PCC7001	1
452863	Arthrobacter chlorophenolicus	41
553480	Photorhabdus asymbiotica	56
1054460	Streptococcus pseudopneumoniae	74
443152	Marinobacter algicola	15
306537	Corynebacterium jeikeium	204
354242	Campylobacter jejuni 81176	3
440497	Lactobacillus jensenii 1153	5
748671	Lactobacillus crispatus	7
292414	Ruegeria sp. TM1040	2
292415	Thiobacillus denitrificans	1082
394	Sinorhizobium fredii NGR234	25
754252	Propionibacterium freudenreichii	7
410359	Pyrobaculum calidifontis	49
410358	Methanocorpusculum labreanum	9
588581	Clostridium papyrosolvens	11
696747	Arthrospira platensis	907
13616	Monodelphis domestica	156
153948	Nitrosomonas sp. AL212	2
224326	Borrelia burgdorferi	3168
224325	Archaeoglobus fulgidus	402
224324	Aquifex aeolicus	514
243090	Rhodopirellula baltica	58
632518	Caldicellulosiruptor owensensis	10
351746	Pseudomonas putida F1	201
198804	Buchnera aphidicola Sg	2
904306	Streptococcus vestibularis	45
555088	Dethiobacter alkaliphilus	4
88036	Selaginella moellendorffii	130
688269	Thermotoga thermarum	14
537972	Helicobacter pullorum	109
537971	Helicobacter cinaedi	168
537970	Helicobacter canadensis	36
1002672	Pelagibacter sp. IMCC9063	0
246410	Coccidioides immitis	1290
293613	Rickettsia canadensis	18
387662	Carsonella ruddii	25
293614	Rickettsia akari	45
391587	Kordia algicida	10
391038	Burkholderia phymatum	27
596329	Peptostreptococcus anaerobius	281
596328	Mobiluncus mulieris	62
436717	Acinetobacter oleivorans	27
596320	Neisseria flavescens SK114	68
596327	Porphyromonas uenonis	3
391037	Salinispora arenicola	42
4538	Oryza glaberrima	157
997346	Desmospora sp. 8437	1
3694	Populus trichocarpa	777
4533	Oryza brachyantha	30
1005057	Buchnera aphidicola Ua	1
1005058	Gallibacterium anatis	52
879243	Porphyromonas asaccharolytica	75
557723	Haemophilus parasuis	266
448385	Sorangium cellulosum	202
335992	Pelagibacter ubique	53
7217	Drosophila ananassae	240
997830	Streptococcus infantis X	5
701521	Pediococcus claussenii	11
269482	Burkholderia vietnamiensis	139
523850	Thermococcus onnurineus	61
199310	Escherichia coli CFT073	263
323848	Nitrosospira multiformis	40
313625	Synechococcus sp. BL107	1
936140	Lactobacillus farciminis	57
167879	Colwellia psychrerythraea	55
313624	Nodularia spumigena	133
663331	Arthroderma benhamiae	133
269800	Thermobifida fusca	270
548476	Corynebacterium aurimucosum	16
548477	Corynebacterium glucuronolyticum	14
399549	Metallosphaera sedula	61
977880	Cupriavidus taiwanensis	41
314607	beta proteobacterium KB13	0
314608	Shewanella benthica	20
187410	Yersinia pestis KIM10	3
663202	Trichophyton verrucosum	428
315730	Bacillus weihenstephanensis	109
698757	Pyrobaculum oguniense	8
658086	Lachnospiraceae bacterium 3157FAACT1	387
7668	Strongylocentrotus purpuratus	285
1040964	Lactobacillus ruminis	47
316067	Geobacter sp. FRC32	90
676032	Francisella novicida	394
164757	Mycobacterium sp. JLS	7
435842	Streptococcus sp. C150	0
585502	Prevotella bergensis	2
585501	Oribacterium sinus	2
585506	Weissella paramesenteroides	58
1140	Synechococcus elongatus PCC7942	52
1148	Synechocystis sp. PCC6803	528
888833	Streptococcus australis	25
40559	Botryotinia fuckeliana	39
