Species_ID	Compact_name	Official_NCBI_name
394	Sinorhizobium fredii NGR234	Sinorhizobium fredii NGR234
882	Desulfovibrio vulgaris Hildenborough	Desulfovibrio vulgaris str. Hildenborough
883	Desulfovibrio vulgaris Miyazaki	Desulfovibrio vulgaris str. 'Miyazaki F'
1140	Synechococcus elongatus PCC7942	Synechococcus elongatus PCC 7942
1148	Synechocystis sp. PCC6803	Synechocystis sp. PCC 6803
2110	Mycoplasma agalactiae	Mycoplasma agalactiae
2850	Phaeodactylum tricornutum	Phaeodactylum tricornutum
3055	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii
3218	Physcomitrella patens	Physcomitrella patens
3694	Populus trichocarpa	Populus trichocarpa
3702	Arabidopsis thaliana	Arabidopsis thaliana
3847	Glycine max	Glycine max
4081	Solanum lycopersicum	Solanum lycopersicum
4113	Solanum tuberosum	Solanum tuberosum
4513	Hordeum vulgare	Hordeum vulgare
4533	Oryza brachyantha	Oryza brachyantha
4538	Oryza glaberrima	Oryza glaberrima
4555	Setaria italica	Setaria italica
4558	Sorghum bicolor	Sorghum bicolor
4577	Zea mays	Zea mays
4787	Phytophthora infestans	Phytophthora infestans
4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe
4929	Pichia guilliermondii	Pichia guilliermondii
4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae
4950	Torulaspora delbrueckii	Torulaspora delbrueckii
4952	Yarrowia lipolytica	Yarrowia lipolytica
4956	Zygosaccharomyces rouxii	Zygosaccharomyces rouxii
5057	Aspergillus clavatus	Aspergillus clavatus
5059	Aspergillus flavus	Aspergillus flavus
5061	Aspergillus niger	Aspergillus niger
5062	Aspergillus oryzae	Aspergillus oryzae
5085	Aspergillus fumigatus	Aspergillus fumigatus
5141	Neurospora crassa	Neurospora crassa
5180	Sclerotinia sclerotiorum	Sclerotinia sclerotiorum
5270	Ustilago maydis	Ustilago maydis
5297	Puccinia graminis	Puccinia graminis
5518	Gibberella zeae	Gibberella zeae
5661	Leishmania donovani	Leishmania donovani
5664	Leishmania major	Leishmania major
5691	Trypanosoma brucei	Trypanosoma brucei
5759	Entamoeba histolytica	Entamoeba histolytica
5762	Naegleria gruberi	Naegleria gruberi
5786	Dictyostelium purpureum	Dictyostelium purpureum
5811	Toxoplasma gondii	Toxoplasma gondii
5821	Plasmodium berghei	Plasmodium berghei
5825	Plasmodium chabaudi	Plasmodium chabaudi
5833	Plasmodium falciparum	Plasmodium falciparum
5850	Plasmodium knowlesi	Plasmodium knowlesi
5855	Plasmodium vivax	Plasmodium vivax
5911	Tetrahymena thermophila	Tetrahymena thermophila
6183	Schistosoma mansoni	Schistosoma mansoni
6238	Caenorhabditis briggsae	Caenorhabditis briggsae
6239	Caenorhabditis elegans	Caenorhabditis elegans
6334	Trichinella spiralis	Trichinella spiralis
6945	Ixodes scapularis	Ixodes scapularis
7029	Acyrthosiphon pisum	Acyrthosiphon pisum
7070	Tribolium castaneum	Tribolium castaneum
7091	Bombyx mori	Bombyx mori
7159	Aedes aegypti	Aedes aegypti
7165	Anopheles gambiae	Anopheles gambiae
7176	Culex quinquefasciatus	Culex quinquefasciatus
7217	Drosophila ananassae	Drosophila ananassae
7222	Drosophila grimshawi	Drosophila grimshawi
7227	Drosophila melanogaster	Drosophila melanogaster
7237	Drosophila pseudoobscura	Drosophila pseudoobscura
7244	Drosophila virilis	Drosophila virilis
7245	Drosophila yakuba	Drosophila yakuba
7260	Drosophila willistoni	Drosophila willistoni
7425	Nasonia vitripennis	Nasonia vitripennis
7460	Apis mellifera	Apis mellifera
7668	Strongylocentrotus purpuratus	Strongylocentrotus purpuratus
7719	Ciona intestinalis	Ciona intestinalis
7739	Branchiostoma floridae	Branchiostoma floridae
7897	Latimeria chalumnae	Latimeria chalumnae
7955	Danio rerio	Danio rerio
8083	Xiphophorus maculatus	Xiphophorus maculatus
8090	Oryzias latipes	Oryzias latipes
8128	Oreochromis niloticus	Oreochromis niloticus
8364	Xenopus Silurana	Xenopus (Silurana) tropicalis
9031	Gallus gallus	Gallus gallus
9103	Meleagris gallopavo	Meleagris gallopavo
9258	Ornithorhynchus anatinus	Ornithorhynchus anatinus
9305	Sarcophilus harrisii	Sarcophilus harrisii
9483	Callithrix jacchus	Callithrix jacchus
9544	Macaca mulatta	Macaca mulatta
9593	Gorilla gorilla	Gorilla gorilla
9598	Pan troglodytes	Pan troglodytes
9601	Pongo abelii	Pongo abelii
9606	Homo sapiens	Homo sapiens
9615	Canis lupus	Canis lupus familiaris
9646	Ailuropoda melanoleuca	Ailuropoda melanoleuca
9669	Mustela putorius	Mustela putorius furo
9685	Felis catus	Felis catus
9739	Tursiops truncatus	Tursiops truncatus
9785	Loxodonta africana	Loxodonta africana
9796	Equus caballus	Equus caballus
9813	Procavia capensis	Procavia capensis
9823	Sus scrofa	Sus scrofa
9913	Bos taurus	Bos taurus
9986	Oryctolagus cuniculus	Oryctolagus cuniculus
10090	Mus musculus	Mus musculus
10116	Rattus norvegicus	Rattus norvegicus
10141	Cavia porcellus	Cavia porcellus
10228	Trichoplax adhaerens	Trichoplax adhaerens
13616	Monodelphis domestica	Monodelphis domestica
13684	Phaeosphaeria nodorum	Phaeosphaeria nodorum
13735	Pelodiscus sinensis	Pelodiscus sinensis
15368	Brachypodium distachyon	Brachypodium distachyon
28377	Anolis carolinensis	Anolis carolinensis
29760	Vitis vinifera	Vitis vinifera
30608	Microcebus murinus	Microcebus murinus
30611	Otolemur garnettii	Otolemur garnettii
31033	Takifugu rubripes	Takifugu rubripes
31964	Clavibacter michiganensis sepedonicus	Clavibacter michiganensis subsp. sepedonicus
32049	Synechococcus sp. PCC7002	Synechococcus sp. PCC 7002
32051	Synechococcus sp. WH7803	Synechococcus sp. WH 7803
33169	Eremothecium gossypii	Eremothecium gossypii
33178	Aspergillus terreus	Aspergillus terreus
35128	Thalassiosira pseudonana	Thalassiosira pseudonana
36630	Neosartorya fischeri	Neosartorya fischeri
36870	Wigglesworthia glossinidia Gb	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
37692	Phytoplasma mali	Candidatus Phytoplasma mali
39416	Tuber melanosporum	Tuber melanosporum
39946	Oryza sativa Indica	Oryza sativa Indica Group
39947	Oryza sativa Japonica	Oryza sativa Japonica Group
40041	Streptococcus equi	Streptococcus equi subsp. zooepidemicus
40559	Botryotinia fuckeliana	Botryotinia fuckeliana
41431	Cyanothece sp. PCC8801	Cyanothece sp. PCC 8801
43179	Ictidomys tridecemlineatus	Ictidomys tridecemlineatus
43989	Cyanothece sp. ATCC51142	Cyanothece sp. ATCC 51142
44689	Dictyostelium discoideum	Dictyostelium discoideum
45157	Cyanidioschyzon merolae	Cyanidioschyzon merolae
45351	Nematostella vectensis	Nematostella vectensis
51453	Hypocrea jecorina	Hypocrea jecorina
52598	Sulfitobacter sp. EE36	Sulfitobacter sp. EE-36
56780	Syntrophus aciditrophicus	Syntrophus aciditrophicus SB
59196	Rickettsiella grylli	Rickettsiella grylli
59374	Fibrobacter succinogenes	Fibrobacter succinogenes subsp. succinogenes S85
59463	Myotis lucifugus	Myotis lucifugus
59689	Arabidopsis lyrata	Arabidopsis lyrata
59729	Taeniopygia guttata	Taeniopygia guttata
59919	Prochlorococcus marinus pastoris	Prochlorococcus marinus subsp. pastoris str. CCMP1986
61853	Nomascus leucogenys	Nomascus leucogenys
62928	Azoarcus sp. BH72	Azoarcus sp. BH72
62977	Acinetobacter sp. ADP1	Acinetobacter sp. ADP1
63737	Nostoc punctiforme	Nostoc punctiforme PCC 73102
64091	Halobacterium sp. NRC1	Halobacterium sp. NRC-1
64471	Synechococcus sp. CC9311	Synechococcus sp. CC9311
65393	Cyanothece sp. PCC7424	Cyanothece sp. PCC 7424
66692	Bacillus clausii	Bacillus clausii KSM-K16
69014	Thermococcus kodakarensis	Thermococcus kodakarensis KOD1
69293	Gasterosteus aculeatus	Gasterosteus aculeatus
70448	Ostreococcus tauri	Ostreococcus tauri
